NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Dahej,PORT_INDAH,ALL#WORLD#ASIA#IND#PORT_INDAH,false,NaN,PORT_TERMINAL,IND,1.0,PORT_TERMINAL,2
Dahej,DAHEJ,ALL#WORLD#ASIA#IND#WESTI#GUJAR#DAHEJ,false,NaN,CITY,IND,3.0,DISTRICT,2
Volgograd,VOLGO,ALL#WORLD#EUR#RUS#SOUFD#VOLFS#VOLGO,false,NaN,CITY,RUS,3.0,THIRD-LEVEL ADMINISTRATIVE DIVISION,2
Volgograd,PORT_RUVOG,ALL#WORLD#EUR#RUS#PORT_RUVOG,false,NaN,PORT_TERMINAL,RUS,1.0,PORT_TERMINAL,2
Ruse Oblast,RUSE,ALL#WORLD#EUR#BGR#RUSE,false,NaN,STATE,BGR,1.0,REGION,2
Ruse Oblast,PORT_BGRDU,ALL#WORLD#EUR#BGR#PORT_BGRDU,false,NaN,PORT_TERMINAL,BGR,1.0,PORT_TERMINAL,2
Shumen,BG333,ALL#WORLD#EUR#BGR#BG3#BG33#BG333,false,NaN,DEPARTMENT,BGR,3.0,DEPARTMENT,2
Shumen,SHMN,ALL#WORLD#EUR#BGR#SHMN,false,NaN,STATE,BGR,1.0,REGION,2
Longkou,LONGKOU,ALL#WORLD#ASIA#CHN#SHAND#LONGKOU,false,NaN,CITY,CHN,2.0,PREFECTURE-LEVEL DIVISION,2
Longkou,PORT_CNLKU,ALL#WORLD#ASIA#CHN#PORT_CNLKU,false,NaN,PORT_TERMINAL,CHN,1.0,PORT_TERMINAL,2
Palu,PALU,ALL#WORLD#ASIA#IDN#CENTRALSULAWESI#PALU,false,NaN,CITY,IDN,2.0,REGENCY,2
Palu,PORT_IDPAL,ALL#WORLD#ASIA#IDN#PORT_IDPAL,false,NaN,PORT_TERMINAL,IDN,1.0,PORT_TERMINAL,2
Konstantinovsk,PORT_KONSTOVSK,ALL#WORLD#EUR#RUS#PORT_KONSTOVSK,false,NaN,PORT_TERMINAL,RUS,1.0,PORT_TERMINAL,2
Konstantinovsk,KONSTOVSK,ALL#WORLD#EUR#RUS#SOUFD#ROSFS#KONSTOVSK,false,NaN,CITY,RUS,3.0,THIRD-LEVEL ADMINISTRATIVE DIVISION,2
Bagaevskaya,PORT_RUBGV,ALL#WORLD#EUR#RUS#PORT_RUBGV,false,NaN,PORT_TERMINAL,RUS,1.0,PORT_TERMINAL,2
Bagaevskaya,BAGAE,ALL#WORLD#EUR#RUS#SOUFD#ROSFS#BAGAE,false,NaN,CITY,RUS,3.0,THIRD-LEVEL ADMINISTRATIVE DIVISION,2
Aosta Valley,ITAOS,ALL#WORLD#EUR#ITA#ITNW#ITAOS,false,NaN,STATE,ITA,2.0,PROVINCE,3
Aosta Valley,ITC20,ALL#WORLD#EUR#ITA#ITC#ITC2#ITC20,false,NaN,DEPARTMENT,ITA,3.0,MUNICIPALITY,3
Aosta Valley,ITC2,ALL#WORLD#EUR#ITA#ITC#ITC2,false,NaN,REGION,ITA,2.0,PROVINCE,3
Dneprovsko-bugsky,PORT_UADNB,ALL#WORLD#EUR#UKR#PORT_UADNB,false,NaN,PORT_TERMINAL,UKR,1.0,PORT_TERMINAL,2
Dneprovsko-bugsky,DNEP,ALL#WORLD#EUR#UKR#DNEP,false,NaN,CITY,UKR,1.0,CITY,2
Makassar,MAKA,ALL#WORLD#ASIA#IDN#MAKA,false,NaN,CITY,IDN,1.0,GEOGRAPHICAL UNIT,2
Makassar,PORT_IDMAK,ALL#WORLD#ASIA#IDN#PORT_IDMAK,false,NaN,PORT_TERMINAL,IDN,1.0,PORT_TERMINAL,2
Bucharest-Ilfov,RO32,ALL#WORLD#EUR#ROU#RO3#RO32,false,NaN,REGION,ROU,2.0,COMMUNES AND VILLAGE,2
Bucharest-Ilfov,ROU_BUI,ALL#WORLD#EUR#ROU#ROU_BUI,false,NaN,REGION,ROU,1.0,DEPARTMENT,2
Fortaleza,FORCE,ALL#WORLD#SOAME#BRA#BRACW#CEARA#FORCE,false,NaN,CITY,BRA,3.0,CITY,2
Fortaleza,PORT_BRFOR,ALL#WORLD#SOAME#BRA#PORT_BRFOR,false,NaN,PORT_TERMINAL,BRA,1.0,PORT_TERMINAL,2
Zhoushan,Zhoushan,ALL#WORLD#ASIA#CHN#ZHEJI#Zhoushan,false,NaN,CITY,CHN,2.0,PREFECTURE-LEVEL DIVISION,2
Zhoushan,PORT_CNZOS,ALL#WORLD#ASIA#CHN#PORT_CNZOS,false,NaN,PORT_TERMINAL,CHN,1.0,PORT_TERMINAL,2
Qingdao,QINGD,ALL#WORLD#ASIA#CHN#SHAND#QINGD,false,NaN,CITY,CHN,2.0,PREFECTURE-LEVEL DIVISION,3
Qingdao,PORT_CNQDG,ALL#WORLD#ASIA#CHN#PORT_CNQDG,false,NaN,PORT_TERMINAL,CHN,1.0,PORT_TERMINAL,3
Qingdao,QINGDAO,ALL#WORLD#ASIA#CHN#QINGDAO,false,NaN,CITY,CHN,1.0,MUNICIPALITY,3
Miyako,PORT_JPMYK,ALL#WORLD#ASIA#JPN#PORT_JPMYK,false,NaN,PORT_TERMINAL,JPN,1.0,PORT_TERMINAL,2
Miyako,MIYAK,ALL#WORLD#ASIA#JPN#MIYAK,false,NaN,CITY,JPN,1.0,PREFECTURE,2
Toledo OH,TOLOH,ALL#WORLD#NOAME#USA#EASCB#OHIO#TOLOH,false,NaN,CITY,USA,3.0,CITY,2
Toledo OH,PORT_USTOL,ALL#WORLD#NOAME#USA#PORT_USTOL,false,NaN,PORT_TERMINAL,USA,1.0,PORT_TERMINAL,2
Hedland,HEDLAND,ALL#WORLD#OCE#AUS#HEDLAND,false,NaN,CITY,AUS,1.0,STATE,2
Hedland,PORT_AUPHE,ALL#WORLD#OCE#AUS#PORT_AUPHE,false,NaN,PORT_TERMINAL,AUS,1.0,PORT_TERMINAL,2
Madrid,ES300,ALL#WORLD#EUR#ESP#ES3#ES30#ES300,false,NaN,DEPARTMENT,ESP,3.0,COMARCA,2
Madrid,SPMAD,ALL#WORLD#EUR#ESP#SPMAD,false,NaN,NATIONAL_REGION,ESP,1.0,AUTONOMOUS COMMUNITY,2
Vorarlberg,AUT_WEST_VORARLBERG,ALL#WORLD#EUR#AUT#AUT_WESTOSTE#AUT_WEST_VORARLBERG,false,NaN,REGION,AUT,2.0,DISTRICT,2
Vorarlberg,AT34,ALL#WORLD#EUR#AUT#AT3#AT34,false,NaN,REGION,AUT,2.0,DISTRICT,2
Edirne,TR212,ALL#WORLD#ASIA#TUR#TR2#TR21#TR212,false,NaN,DEPARTMENT,TUR,3.0,DEPARTMENT,2
Edirne,EDIRNE,ALL#WORLD#ASIA#TUR#EDIRNE,false,NaN,CITY,TUR,1.0,PROVINCE,2
Burdur,BURDUR,ALL#WORLD#ASIA#TUR#BURDUR,false,NaN,STATE,TUR,1.0,PROVINCE,2
Burdur,TR613,ALL#WORLD#ASIA#TUR#TR6#TR61#TR613,false,NaN,DEPARTMENT,TUR,3.0,DEPARTMENT,2
Curitiba,PORT_BRCWB,ALL#WORLD#SOAME#BRA#PORT_BRCWB,false,NaN,PORT_TERMINAL,BRA,1.0,PORT_TERMINAL,2
Curitiba,CURIT,ALL#WORLD#SOAME#BRA#BRASO#PARAN#CURIT,false,NaN,CITY,BRA,3.0,CITY,2
Destrehan LA,DESLA,ALL#WORLD#NOAME#USA#DELTA#LOUIS#DESLA,false,NaN,CITY,USA,3.0,CITY,2
Destrehan LA,PORT_USNEW,ALL#WORLD#NOAME#USA#PORT_USNEW,false,NaN,PORT_TERMINAL,USA,1.0,PORT_TERMINAL,2
Kyoto,PORT_JPUKY,ALL#WORLD#ASIA#JPN#PORT_JPUKY,false,NaN,PORT_TERMINAL,JPN,1.0,PORT_TERMINAL,2
Kyoto,KYOT,ALL#WORLD#ASIA#JPN#KYOT,false,NaN,CITY,JPN,1.0,PREFECTURE,2
Xingtai,XINGT,ALL#WORLD#ASIA#CHN#HEBEI#XINGT,false,NaN,CITY,CHN,2.0,PREFECTURE-LEVEL DIVISION,2
Xingtai,PORT_CNXGI,ALL#WORLD#ASIA#CHN#PORT_CNXGI,false,NaN,PORT_TERMINAL,CHN,1.0,PORT_TERMINAL,2
Takoradi,PORT_TAKO,ALL#WORLD#AFR#GHA#PORT_TAKO,false,NaN,CITY,GHA,1.0,REGION,2
Takoradi,PORT_GHTKD,ALL#WORLD#AFR#GHA#PORT_GHTKD,false,NaN,PORT_TERMINAL,GHA,1.0,PORT_TERMINAL,2
Aomori,AOMORI,ALL#WORLD#ASIA#JPN#AOMORI,false,NaN,CITY,JPN,1.0,PREFECTURE,2
Aomori,PORT_JPAOJ,ALL#WORLD#ASIA#JPN#PORT_JPAOJ,false,NaN,PORT_TERMINAL,JPN,1.0,PORT_TERMINAL,2
Vechta,DE94F,ALL#WORLD#EUR#DEU#DE9#DE94#DE94F,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Vechta,VECHTA-GER,ALL#WORLD#EUR#DEU#LOWSA#VECHTA-GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Dithmarschen,DITHMARSCHEN-GER,ALL#WORLD#EUR#DEU#SCHLE#DITHMARSCHEN-GER,false,NaN,TERRITORY,DEU,2.0,DISTRICT,2
Dithmarschen,DEF05,ALL#WORLD#EUR#DEU#DEF#DEF0#DEF05,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
Neu-Ulm,DE279,ALL#WORLD#EUR#DEU#DE2#DE27#DE279,false,NaN,DEPARTMENT,DEU,3.0,MUNICIPALITY,2
