NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Pune,PUNE,ALL#WORLD#ASIA#IND#PUNE,false,,CITY
Dahej,DAHEJ,ALL#WORLD#ASIA#IND#WESTI#GUJAR#DAHEJ,false,,CITY
Western Greece,GRC_WEST,ALL#WORLD#EUR#GRC#GRC_WEST,false,,NATIONAL_REGION
Lemesos,LEME,ALL#WORLD#EUR#CYP#LEME,false,,CITY
Oxelosund,OXEL,ALL#WORLD#EUR#SWE#OXEL,false,,CITY
Rengat,RENGAT,ALL#WORLD#ASIA#IDN#RIAU#RENGAT,false,,CITY
Januaria,JANUARIA,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#JANUARIA,false,,CITY
Bunbury,PORT_AUBUY,ALL#WORLD#OCEAN#AUS#PORT_AUBUY,false,,PORT_TERMINAL
Glasson Dock,GLASSON,ALL#WORLD#EUR#GBR#GLASSON,false,,CITY
Pirot District,RS226,ALL#WORLD#EASTE#SERBI#SRB#RS2#RS22#RS226,false,,DEPARTMENT
 Brookings 2 Ne SD,BROOKLISOUTHDA,ALL#WORLD#NOAME#USA#NOPLA#SODAK#BROOKLISOUTHDA,false,,CITY
Itapipoca,ITAPIPOCA,ALL#WORLD#Americas#SOAME#BRA#BRACW#CEARA#ITAPIPOCA,false,,CITY
Cambé,CAMBE,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN#CAMBE,false,,CITY
Cairu,CAIRU,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#CAIRU,false,,CITY
ATZ Extra-Regio NUTS 1,ATZ,ALL#WORLD#EUR#AUT#ATZ,false,,NATIONAL_REGION
Baden-Württemberg,DE1,ALL#WORLD#EUR#DEU#DE1,false,,NATIONAL_REGION
Thừa Thiên Huế,THURA_THIEN_HUE,ALL#WORLD#ASIA#VNM#THURA_THIEN_HUE,false,,REGION
Lautoka,LAUTK,ALL#WORLD#OCEAN#FJI#LAUTK,false,,PORT_TERMINAL
Pontevedra,ES114,ALL#WORLD#EUR#ESP#ES1#ES11#ES114,false,,DEPARTMENT
Lands of Trás-os-Montes,PT11E,ALL#WORLD#EUR#PRT#PT1#PT11#PT11E,false,,DEPARTMENT
Port of Cotonou,COTONOU,ALL#WORLD#WESTA#BEN#COTONOU,false,,PORT_TERMINAL
Petaling District,PETALING,ALL#WORLD#ASIA#MYS#PETALING,false,,FEDERAL_DISTRICT
Alchadi,ALCHD,ALL#WORLD#EUR#GRC#ALCHD,false,,CITY
Fürstenfeldbruck,FRSTENFELDBRUCK---GER,ALL#WORLD#EUR#DEU#BAVAR#FRSTENFELDBRUCK---GER,false,,TERRITORY
Zhangjiagang,PORT_CNZJG,ALL#WORLD#ASIA#CHN#PORT_CNZJG,false,,PORT_TERMINAL
Nea Moudania,NEAM,ALL#WORLD#EUR#GRC#NEAM,false,,CITY
Valencian Community,ES52,ALL#WORLD#EUR#ESP#ES5#ES52,false,,REGION
Poizzallo,POIZZ,ALL#WORLD#EUR#ITA#POIZZ,false,,CITY
Duluth MN,PORT_USSUW,ALL#WORLD#NOAME#USA#PORT_USSUW,false,,PORT_TERMINAL
Formiga,FORMIGA,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#FORMIGA,false,,CITY
Prešov Region,SK041,ALL#WORLD#EUR#CZE_SVK#SVK#SK0#SK04#SK041,false,,DEPARTMENT
Bueno Brandão,BUENO_BRAND,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#BUENO_BRAND,false,,CITY
Azores,PRT_AZORES,ALL#WORLD#EUR#PRT#PRT_AZORES,false,,REGION
Sao Miguel Do Oeste,SAO_MIGUEL_DO_OESTE,ALL#WORLD#Americas#SOAME#BRA#BRASO#SANTA#SAO_MIGUEL_DO_OESTE,false,,CITY
Argeș,RO311,ALL#WORLD#EUR#ROU#RO3#RO31#RO311,false,,DEPARTMENT
La Rioja,ES230,ALL#WORLD#EUR#ESP#ES2#ES23#ES230,false,,DEPARTMENT
Kutahya,KTHY,ALL#WORLD#WESTE#TUR#KTHY,false,,STATE
Hampshire and Isle of Wight,GBR_HAMP_ISLEWIGHT,ALL#WORLD#EUR#GBR#GBR_HAMP_ISLEWIGHT,false,,REGION
Kırıkkale,TR711,ALL#WORLD#WESTE#TUR#TR7#TR71#TR711,false,,DEPARTMENT
Capelinha,CAPELINHA,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#CAPELINHA,false,,CITY
