NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Bunbury,PORT_AUBUY,ALL#WORLD#OCEAN#AUS#PORT_AUBUY,false,,PORT_TERMINAL
Lautoka,LAUTK,ALL#WORLD#OCEAN#FJI#LAUTK,false,,PORT_TERMINAL
Port of Cotonou,COTONOU,ALL#WORLD#WESTA#BEN#COTONOU,false,,PORT_TERMINAL
Zhangjiagang,PORT_CNZJG,ALL#WORLD#ASIA#CHN#PORT_CNZJG,false,,PORT_TERMINAL
Duluth MN,PORT_USSUW,ALL#WORLD#NOAME#USA#PORT_USSUW,false,,PORT_TERMINAL
Krasnodar Krai,PORT_RUKRR,ALL#WORLD#CIS#RUS#PORT_RUKRR,false,,PORT_TERMINAL
Montreal,PORT_CAMTR,ALL#WORLD#NOAME#CAN#PORT_CAMTR,false,,PORT_TERMINAL
Tarjun,PORT_IDTAR,ALL#WORLD#ASIA#IDN#PORT_IDTAR,false,,PORT_TERMINAL
Maputo,PORT_MZMPM,ALL#WORLD#AFRMI#MOZ#PORT_MZMPM,false,,PORT_TERMINAL
Puget Sound,PORT_USPGQ,ALL#WORLD#NOAME#USA#PORT_USPGQ,false,,PORT_TERMINAL
Xingtai,PORT_CNXGI,ALL#WORLD#ASIA#CHN#PORT_CNXGI,false,,PORT_TERMINAL
APM,apm,ALL#WORLD#CTLAM#GTM#ESCGU#PUQGU#apm,false,,PORT_TERMINAL
Aracaju,PORT_BRAJU,ALL#WORLD#Americas#SOAME#BRA#PORT_BRAJU,false,,PORT_TERMINAL
Hambantota International Port,PORT_HAM,ALL#WORLD#ASIA#LKA#PORT_HAM,false,,PORT_TERMINAL
Safi,PORT_MASFI,ALL#WORLD#AFRMI#MAR#PORT_MASFI,false,,PORT_TERMINAL
Phuket,PHUKET_THAI,ALL#WORLD#ASIA#THA#PHUKET_THAI,false,,PORT_TERMINAL
Longkou,PORT_CNLKU,ALL#WORLD#ASIA#CHN#PORT_CNLKU,false,,PORT_TERMINAL
Alexandria & Dekheila Port,ADP,ADP,false,,PORT_TERMINAL
batumi ,BATUMI,ALL#WORLD#CIS#GEO#BATUMI,false,,PORT_TERMINAL
Umm Said,PORT_UMM_SAID,ALL#WORLD#MIDDL#QAT#PORT_UMM_SAID,false,,PORT_TERMINAL
Villa Constitucion,PORT_ARVCN,ALL#WORLD#Americas#SOAME#ARG#PORT_ARVCN,false,,PORT_TERMINAL
Sarnia,SARNIA,ALL#WORLD#NOAME#CAN#ONTAR#SARNIA,false,,PORT_TERMINAL
Perth,PORT_AUPER,ALL#WORLD#OCEAN#AUS#PORT_AUPER,false,,PORT_TERMINAL
Takamatsu,PORT_JPTAK,ALL#WORLD#ASIA#JPN#PORT_JPTAK,false,,PORT_TERMINAL
Yatsushiro,PORT_JPYAT,ALL#WORLD#ASIA#JPN#PORT_JPYAT,false,,PORT_TERMINAL
Ochakiv Port,OCHAKIV,ALL#WORLD#CIS#UKR#SOUKR#MYKOL#MYKOC#OCHAKIV,false,,PORT_TERMINAL
Port cartier,PORT_CAPCA,ALL#WORLD#NOAME#CAN#PORT_CAPCA,false,,PORT_TERMINAL
Banjarmasin,PORT_IDBDJ,ALL#WORLD#ASIA#IDN#PORT_IDBDJ,false,,PORT_TERMINAL
Annaba,PORT_DZAAE,ALL#WORLD#DZA#PORT_DZAAE,false,,PORT_TERMINAL
Campana,PORT_ARCMP,ALL#WORLD#Americas#SOAME#ARG#PORT_ARCMP,false,,PORT_TERMINAL
cape horn port,PORT_CAPE_HORN,ALL#WORLD#Americas#SOAME#ARG#PATAR#TDFPA#PORT_CAPE_HORN,false,,PORT_TERMINAL
Puerto de Ceuta,PORT_CEUTA,ALL#WORLD#EUR#ESP#PORT_CEUTA,false,,PORT_TERMINAL
Tincan Port,PORT_NGTIN,ALL#WORLD#WESTA#NGA#PORT_NGTIN,false,,PORT_TERMINAL
Port of Niteroi,PORT_NITER,ALL#WORLD#Americas#SOAME#BRA#BRASE#RIODE#PORT_NITER,false,,PORT_TERMINAL
Bolgar,PORT_BOLGAR,ALL#WORLD#CIS#RUS#PORT_BOLGAR,false,,PORT_TERMINAL
Fortaleza,PORT_BRFOR,ALL#WORLD#Americas#SOAME#BRA#PORT_BRFOR,false,,PORT_TERMINAL
Calarasi,PORT_ROCAS,ALL#WORLD#EUR#ROU#PORT_ROCAS,false,,PORT_TERMINAL
Santa Fe,PORT_ARSFN,ALL#WORLD#Americas#SOAME#ARG#PORT_ARSFN,false,,PORT_TERMINAL
Dunedin Port,PORT_DUND,ALL#WORLD#OCEAN#NZL#PORT_DUND,false,,PORT_TERMINAL
Volgograd,PORT_RUVOG,ALL#WORLD#CIS#RUS#PORT_RUVOG,false,,PORT_TERMINAL
Newcastle,PORT_AUNTL,ALL#WORLD#OCEAN#AUS#PORT_AUNTL,false,,PORT_TERMINAL
Padang,PORT_IDPDG,ALL#WORLD#ASIA#IDN#PORT_IDPDG,false,,PORT_TERMINAL
Les Sables D'Olonne,PORT_FRLSO,ALL#WORLD#EUR#FRA#PORT_FRLSO,false,,PORT_TERMINAL
Takoradi,PORT_GHTKD,ALL#WORLD#AFRMI#GHA#PORT_GHTKD,false,,PORT_TERMINAL
Ruse Oblast,PORT_BGRDU,ALL#WORLD#EUR#BGR#PORT_BGRDU,false,,PORT_TERMINAL
Sfax,PORT_TNSFA,ALL#WORLD#AFRMI#TUN#PORT_TNSFA,false,,PORT_TERMINAL
Rumoi,PORT_JPRMI,ALL#WORLD#ASIA#JPN#PORT_JPRMI,false,,PORT_TERMINAL
Port of Philadelphia,PORT_PHILA,ALL#WORLD#NOAME#USA#NOEAS#PENNS#PORT_PHILA,false,,PORT_TERMINAL
Olternita,PORT_ROOLT,ALL#WORLD#EUR#ROU#PORT_ROOLT,false,,PORT_TERMINAL
Ube,PORT_JPUBJ,ALL#WORLD#ASIA#JPN#PORT_JPUBJ,false,,PORT_TERMINAL
Tg. Mani,PORT_MYSMA,ALL#WORLD#ASIA#MYS#PORT_MYSMA,false,,PORT_TERMINAL
Belo Horizonte,PORT_BRPBO,ALL#WORLD#Americas#SOAME#BRA#PORT_BRPBO,false,,PORT_TERMINAL
Hazira Port,PORT_INHZA,ALL#WORLD#ASIA#IND#PORT_INHZA,false,,PORT_TERMINAL
Ujung Pandang,PORT_IDUPP,ALL#WORLD#ASIA#IDN#PORT_IDUPP,false,,PORT_TERMINAL
Shekou,PORT_CNSHK,ALL#WORLD#ASIA#CHN#PORT_CNSHK,false,,PORT_TERMINAL
Torres,PORT_BRTOR,ALL#WORLD#Americas#SOAME#BRA#PORT_BRTOR,false,,PORT_TERMINAL
Menzel Bourguiba,PORT_TNMBA,ALL#WORLD#AFRMI#TUN#PORT_TNMBA,false,,PORT_TERMINAL
Brake,PORT_DEBKE,ALL#WORLD#EUR#DEU#PORT_DEBKE,false,,PORT_TERMINAL
INKOO,INKOO,ALL#WORLD#EUR#FIN#INKOO,false,,PORT_TERMINAL
Yantian Port,PORT,ALL#WORLD#ASIA#CHN#PORT,false,,PORT_TERMINAL
Porto Xavier,PORT_BRPXI,ALL#WORLD#Americas#SOAME#BRA#PORT_BRPXI,false,,PORT_TERMINAL
Port Vicentin,VICENTIN,ALL#WORLD#Americas#SOAME#ARG#UPRIVER#VICENTIN,false,,PORT_TERMINAL
Izmit,PORT_TRIZT,ALL#WORLD#WESTE#TUR#PORT_TRIZT,false,,PORT_TERMINAL
Busan,PORT_KRPUS,ALL#WORLD#ASIA#KOR#PORT_KRPUS,false,,PORT_TERMINAL
tachibana Port,PORT_TACHIBANA,ALL#WORLD#ASIA#JPN#PORT_TACHIBANA,false,,PORT_TERMINAL
Lumut,PORT_MYLUM,ALL#WORLD#ASIA#MYS#PORT_MYLUM,false,,PORT_TERMINAL
Incheon,PORT_KRINC,ALL#WORLD#ASIA#KOR#PORT_KRINC,false,,PORT_TERMINAL
Curitiba,PORT_BRCWB,ALL#WORLD#Americas#SOAME#BRA#PORT_BRCWB,false,,PORT_TERMINAL
Gola Pristan,PORT_GOLA,ALL#WORLD#ASIA#IND#PORT_GOLA,false,,PORT_TERMINAL
GRANIT PORT,GRANIT_PORT,GRANIT_PORT,false,,PORT_TERMINAL
Cobh,PORT_IECOB,ALL#WORLD#EUR#IRL#PORT_IECOB,false,,PORT_TERMINAL
Lom,PORT_BGLOM,ALL#WORLD#EUR#BGR#PORT_BGLOM,false,,PORT_TERMINAL
Port Esquivel,PORT_ESQ,ALL#WORLD#CTLAM#JAM#PORT_ESQ,false,,PORT_TERMINAL
Destrehan LA,PORT_USNEW,ALL#WORLD#NOAME#USA#PORT_USNEW,false,,PORT_TERMINAL
ICD Birgunj,ICDBIR,ALL#WORLD#ASIA#NPL#ICDBIR,false,,PORT_TERMINAL
Omaezaki,PORT_JPOMZ,ALL#WORLD#ASIA#JPN#PORT_JPOMZ,false,,PORT_TERMINAL
Port of Slavyanka,PORT_SLAV,ALL#WORLD#CIS#RUS#PORT_SLAV,false,,PORT_TERMINAL
Zhoushan,PORT_CNZOS,ALL#WORLD#ASIA#CHN#PORT_CNZOS,false,,PORT_TERMINAL
Hampton NE,PORT_USHAX,ALL#WORLD#NOAME#USA#PORT_USHAX,false,,PORT_TERMINAL
Sriracha Harbour Port,SRIRACHA,ALL#WORLD#ASIA#THA#SRIRACHA,false,,PORT_TERMINAL
Campos dos Goytacazes,PORT_BRCGZ,ALL#WORLD#Americas#SOAME#BRA#PORT_BRCGZ,false,,PORT_TERMINAL
Gran Canaria,GRAN_CANARIA,GRAN_CANARIA,false,,PORT_TERMINAL
Keo Phos Port,KPP,ALL#WORLD#ASIA#KHM#KPP,false,,PORT_TERMINAL
Santa Cruz do Sul,SANTA_CRUZ,ALL#WORLD#Americas#SOAME#BRA#BRASO#RIOGS#SANTA_CRUZ,false,,PORT_TERMINAL
Termini Imerese,TERIMES,ALL#WORLD#EUR#ITA#ITAI#ITSIC#TERIMES,false,,PORT_TERMINAL
Puerto Angamos port,PUERTO-ANGAMOS,ALL#WORLD#OSAM#CHL#PORT_ANTO#PUERTO-ANGAMOS,false,,PORT_TERMINAL
Palu,PORT_IDPAL,ALL#WORLD#ASIA#IDN#PORT_IDPAL,false,,PORT_TERMINAL
Nikolayev,PORT_NIKOLAY,ALL#WORLD#CIS#UKR#PORT_NIKOLAY,false,,PORT_TERMINAL
Arzew,PORT_DZAZW,ALL#WORLD#DZA#PORT_DZAZW,false,,PORT_TERMINAL
Gangavaram Port,GANGAVARAM,GANGAVARAM,false,,PORT_TERMINAL
Boston,PORT_USBOS,ALL#WORLD#NOAME#USA#PORT_USBOS,false,,PORT_TERMINAL
Hedland,PORT_AUPHE,ALL#WORLD#OCEAN#AUS#PORT_AUPHE,false,,PORT_TERMINAL
Imabari,PORT_JPIMB,ALL#WORLD#ASIA#JPN#PORT_JPIMB,false,,PORT_TERMINAL
ponta da madeira,PORT_BRPMA,ALL#WORLD#Americas#SOAME#BRA#PORT_BRPMA,false,,PORT_TERMINAL
HUELVA,PORT_ESHUV,ALL#WORLD#EUR#ESP#PORT_ESHUV,false,,PORT_TERMINAL
Naoetsu,NAO,ALL#WORLD#ASIA#JPN#NIIG#NAO,false,,PORT_TERMINAL
Bahia Blanca,PORT_ARBHI,ALL#WORLD#Americas#SOAME#ARG#PORT_ARBHI,false,,PORT_TERMINAL
Aioi,PORT_JPAIO,ALL#WORLD#ASIA#JPN#PORT_JPAIO,false,,PORT_TERMINAL
Corabia,PORT_ROCOB,ALL#WORLD#EUR#ROU#PORT_ROCOB,false,,PORT_TERMINAL
Port of Basra,PORT_BAS,ALL#WORLD#AFRMI#IRQ#PORT_BAS,false,,PORT_TERMINAL
Nelson Port,PORT_NELSON,ALL#WORLD#OCEAN#NZL#PORT_NELSON,false,,PORT_TERMINAL
Setúbal,SETUBAL,ALL#WORLD#EUR#PRT#SETUBAL,false,,PORT_TERMINAL
Makassar,PORT_IDMAK,ALL#WORLD#ASIA#IDN#PORT_IDMAK,false,,PORT_TERMINAL
Toledo OH,PORT_USTOL,ALL#WORLD#NOAME#USA#PORT_USTOL,false,,PORT_TERMINAL
Luanda,PORT_AOLAD,ALL#WORLD#CWA#AGO#PORT_AOLAD,false,,PORT_TERMINAL
ICD Palwal Port,PORT_INPWL,ALL#WORLD#ASIA#IND#PORT_INPWL,false,,PORT_TERMINAL
Abashiri,PORT_JPABA,ALL#WORLD#ASIA#JPN#PORT_JPABA,false,,PORT_TERMINAL
Kazan,PORT_RUKZN,ALL#WORLD#CIS#RUS#PORT_RUKZN,false,,PORT_TERMINAL
Rengat,PORT_IDRGT,ALL#WORLD#ASIA#IDN#PORT_IDRGT,false,,PORT_TERMINAL
Pascagoula,PORT_USPGL,ALL#WORLD#NOAME#USA#PORT_USPGL,false,,PORT_TERMINAL
