NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Dahej,DAHEJ,ALL#WORLD#ASIA#IND#WESTI#GUJAR#DAHEJ,false,,CITY,IND,3,DISTRICT,2
Rengat,RENGAT,ALL#WORLD#ASIA#IDN#RIAU#RENGAT,false,,CITY,IDN,2,REGENCY,2
Bunbury,PORT_AUBUY,ALL#WORLD#OCE#AUS#PORT_AUBUY,false,,PORT_TERMINAL,AUS,1,PORT_TERMINAL,2
Pontevedra,ES114,ALL#WORLD#EUR#ESP#ES1#ES11#ES114,false,,DEPARTMENT,ESP,3,COMARCA,2
Fürstenfeldbruck,FRSTENFELDBRUCK---GER,ALL#WORLD#EUR#DEU#BAVAR#FRSTENFELDBRUCK---GER,false,,TERRITORY,DEU,2,DISTRICT,2
Zhangjiagang,PORT_CNZJG,ALL#WORLD#ASIA#CHN#PORT_CNZJG,false,,PORT_TERMINAL,CHN,1,PORT_TERMINAL,2
Duluth MN,PORT_USSUW,ALL#WORLD#NOAME#USA#PORT_USSUW,false,,PORT_TERMINAL,USA,1,PORT_TERMINAL,2
La Rioja,ES230,ALL#WORLD#EUR#ESP#ES2#ES23#ES230,false,,DEPARTMENT,ESP,3,COMARCA,4
Ahrweiler,AHRWEILER--GER,ALL#WORLD#EUR#DEU#RHINE#AHRWEILER--GER,false,,TERRITORY,DEU,2,DISTRICT,2
Krasnodar Krai,PORT_RUKRR,ALL#WORLD#EUR#RUS#PORT_RUKRR,false,,PORT_TERMINAL,RUS,1,PORT_TERMINAL,2
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW#DEU_NW_MUN,false,,CITY,DEU,2,DISTRICT,2
Lower Franconia,DEU_BAV_LOWFRANC,ALL#WORLD#EUR#DEU#BAVAR#DEU_BAV_LOWFRANC,false,,DEPARTMENT,DEU,2,DISTRICT,2
Bitung,BITUNG,ALL#WORLD#ASIA#IDN#BITUNG,false,,CITY,IDN,1,GEOGRAPHICAL UNIT,2
Zaragoza,ES243,ALL#WORLD#EUR#ESP#ES2#ES24#ES243,false,,DEPARTMENT,ESP,3,COMARCA,2
Port of Agadir,PORT_AGA,ALL#WORLD#AFR#MAR#PORT_AGA,false,,CITY,MAR,1,REGION,2
Bagaevskaya,BAGAE,ALL#WORLD#EUR#RUS#SOUFD#ROSFS#BAGAE,false,,CITY,RUS,3,THIRD-LEVEL ADMINISTRATIVE DIVISION,2
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA#DEA4,false,,REGION,DEU,2,DISTRICT,2
Montreal,PORT_CAMTR,ALL#WORLD#NOAME#CAN#PORT_CAMTR,false,,PORT_TERMINAL,CAN,1,PORT_TERMINAL,2
Borken,BORKEN--GER,ALL#WORLD#EUR#DEU#NRHWE#BORKEN--GER,false,,TERRITORY,DEU,2,DISTRICT,2
Tarjun,PORT_IDTAR,ALL#WORLD#ASIA#IDN#PORT_IDTAR,false,,PORT_TERMINAL,IDN,1,PORT_TERMINAL,2
Maputo,PORT_MZMPM,ALL#WORLD#AFR#MOZ#PORT_MZMPM,false,,PORT_TERMINAL,MOZ,1,PORT_TERMINAL,2
