NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Monastir,MON,ALL#WORLD#AFR#TUN#MON,false,,REGION,TUN,1,GOVERNORATE
Sfax,PORT_TNSFA,ALL#WORLD#AFR#TUN#PORT_TNSFA,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Dover,DOVER,ALL#WORLD#EUR#GBR#ENG#DOVER,false,,CITY,GBR,2,COUNTY
Menzel Bourguiba,PORT_TNMBA,ALL#WORLD#AFR#TUN#PORT_TNMBA,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Zarzis,PORT_TNZRZ,ALL#WORLD#AFR#TUN#PORT_TNZRZ,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Sousse,PORT_TNSUS,ALL#WORLD#AFR#TUN#PORT_TNSUS,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Gafsa,GAF,ALL#WORLD#AFR#TUN#GAF,false,,REGION,TUN,1,GOVERNORATE
Nabeul,NAB,ALL#WORLD#AFR#TUN#NAB,false,,REGION,TUN,1,GOVERNORATE
Gabes,PORT_TNGAE,ALL#WORLD#AFR#TUN#PORT_TNGAE,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Port of Spain,PORT_SPA,ALL#WORLD#NOAME#TTO#PORT_SPA,false,,PORT_TERMINAL,TTO,1,PORT_TERMINAL
Ariana,ARI,ALL#WORLD#AFR#TUN#ARI,false,,REGION,TUN,1,GOVERNORATE
Manouba,MAN,ALL#WORLD#AFR#TUN#MAN,false,,REGION,TUN,1,GOVERNORATE
Kairouan,KAI,ALL#WORLD#AFR#TUN#KAI,false,,REGION,TUN,1,GOVERNORATE
Gabes,GABE,ALL#WORLD#AFR#TUN#GABE,false,,CITY,TUN,1,GOVERNORATE
Medenine,MED,ALL#WORLD#AFR#TUN#MED,false,,REGION,TUN,1,GOVERNORATE
Zaghouan,ZAGH,ALL#WORLD#AFR#TUN#ZAGH,false,,REGION,TUN,1,GOVERNORATE
Mahdia,MAH,ALL#WORLD#AFR#TUN#MAH,false,,REGION,TUN,1,GOVERNORATE
Rades,PORT_TNRDS,ALL#WORLD#AFR#TUN#PORT_TNRDS,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Tunis,TUNIS,ALL#WORLD#AFR#TUN#TUNIS,false,,CITY,TUN,1,GOVERNORATE
Le Kef,LKE,ALL#WORLD#AFR#TUN#LKE,false,,REGION,TUN,1,GOVERNORATE
Siliana,SIL,ALL#WORLD#AFR#TUN#SIL,false,,REGION,TUN,1,GOVERNORATE
Ben Arous,BENAR,ALL#WORLD#AFR#TUN#BENAR,false,,REGION,TUN,1,GOVERNORATE
Rades,RADE,ALL#WORLD#AFR#TUN#RADE,false,,CITY,TUN,1,GOVERNORATE
Tozeur,TOE,ALL#WORLD#AFR#TUN#TOE,false,,REGION,TUN,1,GOVERNORATE
Sidi Bouz,SIDI,ALL#WORLD#AFR#TUN#SIDI,false,,REGION,TUN,1,GOVERNORATE
Jendouba,JEN,ALL#WORLD#AFR#TUN#JEN,false,,REGION,TUN,1,GOVERNORATE
Beja,BEJ,ALL#WORLD#AFR#TUN#BEJ,false,,REGION,TUN,1,GOVERNORATE
Bizerte,PORT_TNBIZ,ALL#WORLD#AFR#TUN#PORT_TNBIZ,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Bizerte,BIZE,ALL#WORLD#AFR#TUN#BIZE,false,,CITY,TUN,1,GOVERNORATE
Sfax,SFAX,ALL#WORLD#AFR#TUN#SFAX,false,,CITY,TUN,1,GOVERNORATE
Grimsby,GRMBSY,ALL#WORLD#EUR#GBR#ENG#GRMBSY,false,,CITY,GBR,2,COUNTY
Tataouine,TAT,ALL#WORLD#AFR#TUN#TAT,false,,REGION,TUN,1,GOVERNORATE
Goulette,PORT_TNLGO,ALL#WORLD#AFR#TUN#PORT_TNLGO,false,,PORT_TERMINAL,TUN,1,PORT_TERMINAL
Zarzis,ZARZIS,ALL#WORLD#AFR#TUN#ZARZIS,false,,CITY,TUN,1,GOVERNORATE
Kebili,KEB,ALL#WORLD#AFR#TUN#KEB,false,,REGION,TUN,1,GOVERNORATE
Sousse,SOUS,ALL#WORLD#AFR#TUN#SOUS,false,,CITY,TUN,1,GOVERNORATE
Kasserine,KAS,ALL#WORLD#AFR#TUN#KAS,false,,REGION,TUN,1,GOVERNORATE
Azerbaijan,AZE,ALL#WORLD#AZE,false,,COUNTRY,Asia,0,COUNTRY
