NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,HIERARCHY_short
Pune,PUNE,ALL#WORLD#ASIA#IND#PUNE,false,,CITY,ALL#WORLD#ASIA#IND
Dahej,DAHEJ,ALL#WORLD#ASIA#IND#WESTI#GUJAR#DAHEJ,false,,CITY,ALL#WORLD#ASIA#IND#WESTI#GUJAR
Western Greece,GRC_WEST,ALL#WORLD#EUR#GRC#GRC_WEST,false,,NATIONAL_REGION,ALL#WORLD#EUR#GRC
Lemesos,LEME,ALL#WORLD#EUR#CYP#LEME,false,,CITY,ALL#WORLD#EUR#CYP
Oxelosund,OXEL,ALL#WORLD#EUR#SWE#OXEL,false,,CITY,ALL#WORLD#EUR#SWE
Rengat,RENGAT,ALL#WORLD#ASIA#IDN#RIAU#RENGAT,false,,CITY,ALL#WORLD#ASIA#IDN#RIAU
Januaria,JANUARIA,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#JANUARIA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS
Bunbury,PORT_AUBUY,ALL#WORLD#OCEAN#AUS#PORT_AUBUY,false,,PORT_TERMINAL,ALL#WORLD#OCEAN#AUS
Glasson Dock,GLASSON,ALL#WORLD#EUR#GBR#GLASSON,false,,CITY,ALL#WORLD#EUR#GBR
Pirot District,RS226,ALL#WORLD#EASTE#SERBI#SRB#RS2#RS22#RS226,false,,DEPARTMENT,ALL#WORLD#EASTE#SERBI#SRB#RS2#RS22
Brookings 2 Ne SD,BROOKLISOUTHDA,ALL#WORLD#NOAME#USA#NOPLA#SODAK#BROOKLISOUTHDA,false,,CITY,ALL#WORLD#NOAME#USA#NOPLA#SODAK
Itapipoca,ITAPIPOCA,ALL#WORLD#Americas#SOAME#BRA#BRACW#CEARA#ITAPIPOCA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#CEARA
Cambé,CAMBE,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN#CAMBE,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRASO#PARAN
Cairu,CAIRU,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#CAIRU,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA
ATZ Extra-Regio NUTS 1,ATZ,ALL#WORLD#EUR#AUT#ATZ,false,,NATIONAL_REGION,ALL#WORLD#EUR#AUT
Baden-Württemberg,DE1,ALL#WORLD#EUR#DEU#DE1,false,,NATIONAL_REGION,ALL#WORLD#EUR#DEU
Thừa Thiên Huế,THURA_THIEN_HUE,ALL#WORLD#ASIA#VNM#THURA_THIEN_HUE,false,,REGION,ALL#WORLD#ASIA#VNM
Lautoka,LAUTK,ALL#WORLD#OCEAN#FJI#LAUTK,false,,PORT_TERMINAL,ALL#WORLD#OCEAN#FJI
Pontevedra,ES114,ALL#WORLD#EUR#ESP#ES1#ES11#ES114,false,,DEPARTMENT,ALL#WORLD#EUR#ESP#ES1#ES11
Lands of Trás-os-Montes,PT11E,ALL#WORLD#EUR#PRT#PT1#PT11#PT11E,false,,DEPARTMENT,ALL#WORLD#EUR#PRT#PT1#PT11
Port of Cotonou,COTONOU,ALL#WORLD#WESTA#BEN#COTONOU,false,,PORT_TERMINAL,ALL#WORLD#WESTA#BEN
Petaling District,PETALING,ALL#WORLD#ASIA#MYS#PETALING,false,,FEDERAL_DISTRICT,ALL#WORLD#ASIA#MYS
Alchadi,ALCHD,ALL#WORLD#EUR#GRC#ALCHD,false,,CITY,ALL#WORLD#EUR#GRC
Fürstenfeldbruck,FRSTENFELDBRUCK---GER,ALL#WORLD#EUR#DEU#BAVAR#FRSTENFELDBRUCK---GER,false,,TERRITORY,ALL#WORLD#EUR#DEU#BAVAR
Zhangjiagang,PORT_CNZJG,ALL#WORLD#ASIA#CHN#PORT_CNZJG,false,,PORT_TERMINAL,ALL#WORLD#ASIA#CHN
