NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PROBLEM,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,COLUMN_PROBLEM
US/SAM/SAF,SAM_EU,US_SAM_SAF,True,[],,ConsistencyConstraint - CHILDREN NULL,,,,CHILDREN
SAM/EU,SAM_EU,SAM_EU,True,[],,ConsistencyConstraint - CHILDREN NULL,,,,CHILDREN
"Nigeria, Ghana and Cameroon",NGAGHACMR,ALL#WORLD#AFR#NGAGHACMR,True,[],,ConsistencyConstraint - CHILDREN NULL,,,,CHILDREN
 Brookings 2 Ne SD,BROOKLISOUTHDA,ALL#WORLD#NOAME#USA#NOPLA#SODAK,False,,CITY,UniquenessConstraint - duplicate,USA,3.0,CITY,NAME
Brookings 2 Ne SD,BROOKSOUTHDAK,ALL#WORLD#NOAME#USA#NOPLA#SODAK,False,,CITY,UniquenessConstraint - duplicate,USA,3.0,CITY,NAME
Sao Miguel Do Oeste,SAO_MIGUEL_DO_OESTE,ALL#WORLD#SOAME#BRA#BRASO#SANTA,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
São Miguel do Oeste,SAOMIGDOESTE,ALL#WORLD#SOAME#BRA#BRASO#SANTA,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Münster,DEA3,ALL#WORLD#EUR#DEU#DEA,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Lower Franconia,DEU_BAV_LOWFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,DEPARTMENT,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Lower Franconia,DE26,ALL#WORLD#EUR#DEU#DE2,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Bom Jesus da Lapa,BOM_JESUS_LAP,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Bom Jesus Da Lapa,BOM_JESUS_DA_LAPA,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Detmold,DEU_NW_DETMOLD,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Aosta Valley,ITC2,ALL#WORLD#EUR#ITA#ITC,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Aosta Valley,ITAOS,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
London Locks WV,LONDOWIS,ALL#WORLD#NOAME#USA#APPAL#WESTV,False,,CITY,UniquenessConstraint - duplicate,USA,3.0,CITY,NAME
London Locks WV,LONDONWV,ALL#WORLD#NOAME#USA#EASCB#WISCO,False,,CITY,UniquenessConstraint - duplicate,USA,3.0,CITY,NAME
Tübingen,TBINGEN---GER,ALL#WORLD#EUR#DEU#BADEW,False,,TERRITORY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Tübingen,DE14,ALL#WORLD#EUR#DEU#DE1,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Mateiros,MATEI,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Mateiros,MATEIROS,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Baixa Grande Do Ribeiro,BAIXA_GRANDE_DO_RIBEIRO,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Baixa Grande do Ribeiro,BAIXA,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Bình Phước,BINH_PHOC,ALL#WORLD#ASIA#VNM,False,,REGION,UniquenessConstraint - duplicate,VNM,1.0,PROVINCE,NAME
Binh Phuoc,BIP,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,UniquenessConstraint - duplicate,VNM,1.0,PROVINCE,NAME
Umbria,ITI2,ALL#WORLD#EUR#ITA#ITI,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Umbria,ITUMB,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Upper Franconia,DEU_BAV_UPPERFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Upper Franconia,DE24,ALL#WORLD#EUR#DEU#DE2,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
KwaZulu-Natal,KZN,ALL#WORLD#AFR#ZAF,False,,REGION,UniquenessConstraint - duplicate,ZAF,1.0,PROVINCE,NAME
KwaZulu-Natal,KWZN,ALL#WORLD#AFR#ZAF,False,,CITY,UniquenessConstraint - duplicate,ZAF,1.0,PROVINCE,NAME
Ivaiporã,IAIP,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Ivaipora,IVAPA,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Lorraine,FRF3,ALL#WORLD#EUR#FRA#FRF,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Lorraine,LORRA,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Catania,ITG17,ALL#WORLD#EUR#ITA#ITG#ITG1,False,,DEPARTMENT,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Catania,ITCAT,ALL#WORLD#EUR#ITA#ITAI#ITSIC,False,,CITY,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Siena,ITI19,ALL#WORLD#EUR#ITA#ITI#ITI1,False,,DEPARTMENT,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Siena,SIENA,ALL#WORLD#EUR#ITA#ITAC#ITTUS,False,,CITY,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Chemnitz,DEU_SN_CHEMN,ALL#WORLD#EUR#DEU#DE-SN,False,,CITY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Chemnitz,DED4,ALL#WORLD#EUR#DEU#DED,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Itaporã,ITAPORA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Itaporã,IPRMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Thuringia,DEU_THURINGIA,ALL#WORLD#EUR#DEU,False,,REGION,UniquenessConstraint - duplicate,DEU,1.0,STATE,NAME
Thuringia,DEG,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,DEU,1.0,STATE,NAME
Vorarlberg,AT34,ALL#WORLD#EUR#AUT#AT3,False,,REGION,UniquenessConstraint - duplicate,AUT,2.0,DISTRICT,NAME
Vorarlberg,AUT_WEST_VORARLBERG,ALL#WORLD#EUR#AUT#AUT_WESTOSTE,False,,REGION,UniquenessConstraint - duplicate,AUT,2.0,DISTRICT,NAME
Davao Region,DAVAOREGION,ALL#WORLD#ASIA#PHL,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,PHL,1.0,REGION,NAME
Davao,DAVAO,ALL#WORLD#ASIA#PHL,False,,CITY,UniquenessConstraint - duplicate,PHL,1.0,REGION,NAME
baja california,B-CA,ALL#WORLD#NOAME#MEX,False,,STATE,UniquenessConstraint - duplicate,MEX,1.0,STATE,NAME
Baja California Sur,BCS,ALL#WORLD#NOAME#MEX,False,,STATE,UniquenessConstraint - duplicate,MEX,1.0,STATE,NAME
Poltava Oblast,UA11,ALL#WORLD#EUR#UKR#UA1,False,,REGION,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Poltava Oblast,POLTA,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Tien Giang province,TIENGIANG,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,UniquenessConstraint - duplicate,VNM,1.0,PROVINCE,NAME
Tien Giang,TIENG,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,UniquenessConstraint - duplicate,VNM,1.0,PROVINCE,NAME
Central Italy,ITI,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,ITA,1.0,AUTONOMOUS REGION,NAME
Central Italy,ITAC,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,ITA,1.0,AUTONOMOUS REGION,NAME
Lower Bavaria,DE22,ALL#WORLD#EUR#DEU#DE2,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Lower Bavaria,DEU_BAV_LOWBAY,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Juiz de Fora,JUIZFORA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Juiz De Fora,JUIZ_DE_FORA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Kherson Oblast,UA43,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Kherson Oblast,KHERS,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Foggia,ITF46,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Foggia,FOGGI,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Bari,ITF47,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Bari,BARII,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Lombardy,ITC4,ALL#WORLD#EUR#ITA#ITC,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Lombardy,ITLOM,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Middle Franconia,DEU_BAV_MIDFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
