NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Indian Ocean,IND_OCE,IND_OCE,False,,REGION
Vĩnh Phúc,VINH,VINH,False,,REGION
Alexandria & Dekheila Port,ADP,ADP,False,,PORT_TERMINAL
Highland Papua,HGHPAPUA,HGHPAPUA,False,,CITY
CENTRAL BUENOS AIRES,C_BUENOSAIRES,C_BUENOSAIRES,False,,REGION
WASDE Major Importers,MAJIMP,MAJIMP,False,,REGION
Alexanderbay,ALEXBAY,ALEXBAY,False,,CITY
GRANIT PORT,GRANIT_PORT,GRANIT_PORT,False,,PORT_TERMINAL
England South West,EN-SW,EN-SW,False,,REGION
Gran Canaria,GRAN_CANARIA,GRAN_CANARIA,False,,PORT_TERMINAL
South Atlantic,S_ATL,S_ATL,False,,REGION
Gangavaram Port,GANGAVARAM,GANGAVARAM,False,,PORT_TERMINAL
Vĩnh Long,VINH_LONG,VINH_LONG,False,,REGION
 HAMBURGMITTE ,DEHTJ,HAMB#DEHTJ,False,,REGION
Segamat District,SEGAMAT,SEGAMAT,False,,REGION
"Argentina, Brazil and South Africa",ARG_BRA_SAF,ARG_BRA_SAF,False,,REGION
Karaikal,KARAIKAL,KARAIKAL,False,,CITY
Aps,PORT_APS,PORT_APS,False,,PORT_TERMINAL
PARAGUAI,PRG,CENTRAL_SOUTH_AMERICA#PRG,False,,REGION
AUSTRALASIA & OCEANIA,AUSTRALASIA_OCEANIA,AUSTRALASIA_OCEANIA,False,,REGION
Bentong,BENTONG,BENTONG,False,,CITY
"Russia, Ukraine",RUS_UKR,RUS_UKR,False,,REGION
England Eastern,EN-EA,EN-EA,False,,REGION
Hargshamn,HARSSHAMN,HARSSHAMN,False,,PORT_TERMINAL
ESKIHOLDEN,ESKIHOL,ESKIHOL,False,,PORT_TERMINAL
West Pacific,W_PAC,W_PAC,False,,REGION
North Scotland,NSCOT,NSCOT,False,,REGION
parcel Port,PARCEL_PORT,PARCEL_PORT,False,,PORT_TERMINAL
CENTRAL & SOUTH AMERICA,CENTRAL_SOUTH_AMERICA,CENTRAL_SOUTH_AMERICA,False,,REGION
South Lanao,SOUTHLANAO,SOUTHLANAO,False,,REGION
Central Papua,CNTPAPUA,CNTPAPUA,False,,CITY
Svalbard and Jan Mayen,SAJM,SAJM,False,,COUNTRY
Jebel Ali,PORT_AEJEA,PORT_AEJEA,False,,PORT_TERMINAL
NOIRMOUTIERENL'ILE,FRNOI,FRNOI,False,,CITY
North Atlantic	,NO_ATLANT,NO_ATLANT,False,,REGION
TURABAU,TURABAU,TURABAU,False,,PORT_TERMINAL
Union of Soviet Socialist Republics,USSR,USSR,False,,REGION
Midlands UK,MID-UK,MID-UK,False,,REGION
Hamburg,HAMB,HAMB,False,,CITY
Gola Pristan,GOLA,GOLA,False,,CITY
Icsaccea,ICSACCEA,ICSACCEA,False,,PORT_TERMINAL
Fujairah,PORT_AEFJR,PORT_AEFJR,False,,PORT_TERMINAL
Migration,ZZUKN,ZZUKN,False,,CITY
Federal Territory West Germany,BMEL-LOCTION-FEDERAL-TERRITORY-WEST-GERMANY,BMEL-LOCTION-FEDERAL-TERRITORY-WEST-GERMANY,False,,REGION
Mormugao,MORMUGAO,MORMUGAO,False,,CITY
Continent,CONT,CONT,False,,REGION
ANDHRA PRADESH & TELANGANA,APTG,APTG,False,,REGION
VOLGOGRAD SILO,VOLGO_PORT,VOLGO_PORT,False,,PORT_TERMINAL
England & Wales,ENGLAND_WALES,ENGLAND_WALES,False,,REGION
European Union 15,E15,E15,False,,REGION
Lao People's Democratic Republic (the),LAP,LAP,False,,COUNTRY
South Papua,STHPAPUA,STHPAPUA,False,,CITY
RUSALPHATRADE,PHA,PHA,False,,COUNTRY
Wake Island,WAKE,WAKE,False,,REGION
Esbjerg,ESBJ,ESBJ,False,,CITY
Valli port,VALLI_PORT,VALLI_PORT,False,,PORT_TERMINAL
West Atlantic,W_ATL,W_ATL,False,,REGION
AABENRAA,AABENRAA,AABENRAA,False,,PORT_TERMINAL
South West Papua,SWP,SWP,False,,CITY
Okinawa,OKINAWA,OKINAWA,False,,CITY
Noain,NOAIN,NOAIN,False,,CITY
East Pacific,ES_PAC,ES_PAC,False,,REGION
Great Britain North East,GBNE,GBNE,False,,REGION
Jempol District,JEMPOL,JEMPOL,False,,REGION
England North East,EN-NE,EN-NE,False,,REGION
Federal Territory East Germany,BMEL-LOCTION-FEDERAL-TERRITORY-EAST-GERMANY,BMEL-LOCTION-FEDERAL-TERRITORY-EAST-GERMANY,False,,REGION
Indian Ocean,IND_OCE,IND_OCE,False,,REGION
Vĩnh Phúc,VINH,VINH,False,,REGION
Alexandria & Dekheila Port,ADP,ADP,False,,PORT_TERMINAL
WASDE Major Importers,MAJIMP,MAJIMP,False,,REGION
Alexanderbay,ALEXBAY,ALEXBAY,False,,CITY
GRANIT PORT,GRANIT_PORT,GRANIT_PORT,False,,PORT_TERMINAL
England South West,EN-SW,EN-SW,False,,REGION
South Atlantic,S_ATL,S_ATL,False,,REGION
Gangavaram Port,GANGAVARAM,GANGAVARAM,False,,PORT_TERMINAL
Restinga Seca ,REST_SECA,ALL#WORLD#Americas#SOAME#BRA#BRASO#RIOGS#REST_SECA,False,,CITY
Vĩnh Long,VINH_LONG,VINH_LONG,False,,REGION
Segamat District,SEGAMAT,SEGAMAT,False,,REGION
"Argentina, Brazil and South Africa",ARG_BRA_SAF,ARG_BRA_SAF,False,,REGION
Karaikal,KARAIKAL,KARAIKAL,False,,CITY
AUSTRALASIA & OCEANIA,AUSTRALASIA_OCEANIA,AUSTRALASIA_OCEANIA,False,,REGION
Bentong,BENTONG,BENTONG,False,,CITY
"Russia, Ukraine",RUS_UKR,RUS_UKR,False,,REGION
England Eastern,EN-EA,EN-EA,False,,REGION
Hargshamn,HARSSHAMN,HARSSHAMN,False,,PORT_TERMINAL
parcel Port,PARCEL_PORT,PARCEL_PORT,False,,PORT_TERMINAL
Harare,HARARE,ALL#WORLD#EASTA#ZWE#HARARE,False,,PORT_TERMINAL
CENTRAL & SOUTH AMERICA,CENTRAL_SOUTH_AMERICA,CENTRAL_SOUTH_AMERICA,False,,REGION
South Lanao,SOUTHLANAO,SOUTHLANAO,False,,REGION
Svalbard and Jan Mayen,SAJM,SAJM,False,,COUNTRY
Union of Soviet Socialist Republics,USSR,USSR,False,,REGION
Midlands UK,MID-UK,MID-UK,False,,REGION
Hamburg,HAMB,HAMB,False,,CITY
Gola Pristan,GOLA,GOLA,False,,CITY
Fujairah,PORT_AEFJR,PORT_AEFJR,False,,PORT_TERMINAL
Migration,ZZUKN,ZZUKN,False,,CITY
ANDHRA PRADESH & TELANGANA,APTG,APTG,False,,REGION
England & Wales,ENGLAND_WALES,ENGLAND_WALES,False,,REGION
European Union 15,E15,E15,False,,REGION
Lao People's Democratic Republic (the),LAP,LAP,False,,COUNTRY
South Papua,STHPAPUA,STHPAPUA,False,,CITY
Wake Island,WAKE,WAKE,False,,REGION
Esbjerg,ESBJ,ESBJ,False,,CITY
South West Papua,SWP,SWP,False,,CITY
Okinawa,OKINAWA,OKINAWA,False,,CITY
Male port,PORT_MALDIVES,ALL#WORLD#MDV#PORT_MALDIVES,False,,PORT_TERMINAL
Great Britain North East,GBNE,GBNE,False,,REGION
Jempol District,JEMPOL,JEMPOL,False,,REGION
England North East,EN-NE,EN-NE,False,,REGION
ALL,ALL,ALL,False,,REGION
Not Available,,ALL#N/A,False,,REGION
MOUNTAIN,MOUNT,ALL#WORLD#NOAME#USA#MOUNT,False,,REGION
IDAHO,IDAHO,ALL#WORLD#NOAME#USA#MOUNT#IDAHO,False,,REGION
Others,OTHER,ALL#WORLD#OTHER,False,,COUNTRY
Australia,AUS,ALL#WORLD#OCEAN#AUS,False,,COUNTRY
Federal Territory East Germany,BMEL-LOCTION-FEDERAL-TERRITORY-EAST-GERMANY,BMEL-LOCTION-FEDERAL-TERRITORY-EAST-GERMANY,False,,REGION
