NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,CONTINENT
South Sudan,S_SDN,ALL#WORLD#AFRMI#S_SDN,False,,COUNTRY,Africa
CURACAO,CUW,ALL#WORLD#EUR#CUW,False,,COUNTRY,South America
Oman,OMAN,ALL#WORLD#MIDDL#OMAN,False,,COUNTRY,Asia
Svalbard and Jan Mayen,SAJM,SAJM,False,,COUNTRY,Europe
Northern Ireland,N-IRL,ALL#WORLD#EUR#GBR#N-IRL,False,,COUNTRY,Europe
Sint Maarten,SXM,ALL#WORLD#EUR#SXM,False,,COUNTRY,North America
Saint Martin,STM,ALL#WORLD#CARIB#STM,False,,COUNTRY,North America
Lao People's Democratic Republic (the),LAP,LAP,False,,COUNTRY,Africa
North Macedonia,NORTH_MACED,ALL#WORLD#EASTE#NORTH_MACED,False,,COUNTRY,Europe
San Marino ,SAN_MARINO,ALL#WORLD#EUR#SAN_MARINO,False,,COUNTRY,Europe
Montenegro,MNE,ALL#WORLD#EASTE#SERBI#MNE,False,,COUNTRY,Europe
"Bonaire, Sint Eustatius and Saba",BES,ALL#WORLD#CARIB#BES,False,,COUNTRY,North America
Guernsey,GUERN,ALL#WORLD#EUR#GUERN,False,,COUNTRY,Europe
Benin,BEN,ALL#WORLD#WESTA#BEN,False,,COUNTRY,Africa
Burkina Faso,BFA,ALL#WORLD#WESTA#BFA,False,,COUNTRY,Africa
Bangladesh,BGD,ALL#WORLD#ASIA#BGD,False,,COUNTRY,Asia
Bulgaria,BGR,ALL#WORLD#EUR#BGR,False,,COUNTRY,Europe
Bahrain,BHR,ALL#WORLD#MIDDL#BHR,False,,COUNTRY,Asia
Bahamas,BHS,ALL#WORLD#CARIB#BHS,False,,COUNTRY,North America
Bosnia And Herzegovina,BIH,ALL#WORLD#EASTE#BIH,False,,COUNTRY,Europe
Belarus,BLR,ALL#WORLD#CIS#BLR,False,,COUNTRY,Europe
Belize,BLZ,ALL#WORLD#CTLAM#BLZ,False,,COUNTRY,North America
Bermuda,BMU,ALL#WORLD#CARIB#BMU,False,,COUNTRY,North America
Bolivia,BOL,ALL#WORLD#OSAM#BOL,False,,COUNTRY,South America
Brazil,BRA,ALL#WORLD#Americas#SOAME#BRA,False,,COUNTRY,South America
Barbados,BRB,ALL#WORLD#CARIB#BRB,False,,COUNTRY,North America
Bhutan,BTN,ALL#WORLD#ASIA#BTN,False,,COUNTRY,Asia
Botswana,BWA,ALL#WORLD#AFRMI#BWA,False,,COUNTRY,Africa
Central African Republic,CAF,ALL#WORLD#WESTA#CAF,False,,COUNTRY,Africa
Canada,CAN,ALL#WORLD#NOAME#CAN,False,,COUNTRY,North America
Switzerland,CHE,ALL#WORLD#WESTE#CHE,False,,COUNTRY,Europe
Chile,CHL,ALL#WORLD#OSAM#CHL,False,,COUNTRY,South America
China,CHN,ALL#WORLD#ASIA#CHN,False,,COUNTRY,Asia
Ivory Coast,CIV,ALL#WORLD#WESTA#CIV,False,,COUNTRY,Africa
Cameroon,CMR,ALL#WORLD#WESTA#CMR,False,,COUNTRY,Africa
"Congo, The Democratic Republic, Formerly Zaire",COD,ALL#WORLD#CWA#COD,False,,COUNTRY,Africa
Congo,COG,ALL#WORLD#CWA#COG,False,,COUNTRY,Africa
Colombia,COL,ALL#WORLD#OSAM#COL,False,,COUNTRY,South America
Cape Verde,CPV,ALL#WORLD#AFRMI#CPV,False,,COUNTRY,Africa
Costa Rica,CRI,ALL#WORLD#CTLAM#CRI,False,,COUNTRY,North America
