NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
 Brookings 2 Ne SD,BROOKLISOUTHDA,ALL#WORLD#NOAME#USA#NOPLA#SODAK,False,,CITY,USA,3,CITY
Brookings 2 Ne SD,BROOKSOUTHDAK,ALL#WORLD#NOAME#USA#NOPLA#SODAK,False,,CITY,USA,3,CITY
Sao Miguel Do Oeste,SAO_MIGUEL_DO_OESTE,ALL#WORLD#SOAME#BRA#BRASO#SANTA,False,,CITY,BRA,3,CITY
São Miguel do Oeste,SAOMIGDOESTE,ALL#WORLD#SOAME#BRA#BRASO#SANTA,False,,CITY,BRA,3,CITY
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,DEU,2,DISTRICT
Münster,DEA3,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT
Lower Franconia,DEU_BAV_LOWFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,DEPARTMENT,DEU,2,DISTRICT
Lower Franconia,DE26,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT
Bom Jesus da Lapa,BOM_JESUS_LAP,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
Bom Jesus Da Lapa,BOM_JESUS_DA_LAPA,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT
Detmold,DEU_NW_DETMOLD,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,DEU,2,DISTRICT
Aosta Valley,ITC2,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE
Aosta Valley,ITAOS,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE
London Locks WV,LONDOWIS,ALL#WORLD#NOAME#USA#APPAL#WESTV,False,,CITY,USA,3,CITY
London Locks WV,LONDONWV,ALL#WORLD#NOAME#USA#EASCB#WISCO,False,,CITY,USA,3,CITY
Tübingen,TBINGEN---GER,ALL#WORLD#EUR#DEU#BADEW,False,,TERRITORY,DEU,2,DISTRICT
Tübingen,DE14,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT
Mateiros,MATEI,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Mateiros,MATEIROS,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Baixa Grande Do Ribeiro,BAIXA_GRANDE_DO_RIBEIRO,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,BRA,3,CITY
Baixa Grande do Ribeiro,BAIXA,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,BRA,3,CITY
Bình Phước,BINH_PHOC,ALL#WORLD#ASIA#VNM,False,,REGION,VNM,1,PROVINCE
Binh Phuoc,BIP,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,VNM,1,PROVINCE
Umbria,ITI2,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE
Umbria,ITUMB,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE
Upper Franconia,DEU_BAV_UPPERFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT
Upper Franconia,DE24,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT
