NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,Valid
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,DEU,2,DISTRICT,False
Münster,DEA3,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT,True
Lower Franconia,DEU_BAV_LOWFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,DEPARTMENT,DEU,2,DISTRICT,False
Lower Franconia,DE26,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT,True
Detmold,DEU_NW_DETMOLD,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,DEU,2,DISTRICT,False
Aosta Valley,ITC2,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE,True
Aosta Valley,ITAOS,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE,False
Tübingen,TBINGEN---GER,ALL#WORLD#EUR#DEU#BADEW,False,,TERRITORY,DEU,2,DISTRICT,False
Tübingen,DE14,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT,True
Umbria,ITI2,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE,True
Umbria,ITUMB,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE,False
Upper Franconia,DEU_BAV_UPPERFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT,False
Upper Franconia,DE24,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
Lorraine,FRF3,ALL#WORLD#EUR#FRA#FRF,False,,REGION,FRA,2,DEPARTMENT,True
Lorraine,LORRA,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,FRA,2,DEPARTMENT,False
Catania,ITG17,ALL#WORLD#EUR#ITA#ITG#ITG1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Catania,ITCAT,ALL#WORLD#EUR#ITA#ITAI#ITSIC,False,,CITY,ITA,3,MUNICIPALITY,False
Siena,ITI19,ALL#WORLD#EUR#ITA#ITI#ITI1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Siena,SIENA,ALL#WORLD#EUR#ITA#ITAC#ITTUS,False,,CITY,ITA,3,MUNICIPALITY,False
Chemnitz,DEU_SN_CHEMN,ALL#WORLD#EUR#DEU#DE-SN,False,,CITY,DEU,2,DISTRICT,False
Chemnitz,DED4,ALL#WORLD#EUR#DEU#DED,False,,REGION,DEU,2,DISTRICT,True
Thuringia,DEU_THURINGIA,ALL#WORLD#EUR#DEU,False,,REGION,DEU,1,STATE,False
Thuringia,DEG,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE,False
Vorarlberg,AT34,ALL#WORLD#EUR#AUT#AT3,False,,REGION,AUT,2,DISTRICT,True
Vorarlberg,AUT_WEST_VORARLBERG,ALL#WORLD#EUR#AUT#AUT_WESTOSTE,False,,REGION,AUT,2,DISTRICT,False
Poltava Oblast,UA11,ALL#WORLD#EUR#UKR#UA1,False,,REGION,UKR,2,RAION,True
Poltava Oblast,POLTA,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UKR,2,RAION,False
Central Italy,ITI,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION,False
Central Italy,ITAC,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION,False
Lower Bavaria,DE22,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
Lower Bavaria,DEU_BAV_LOWBAY,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT,False
Kherson Oblast,UA43,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION,True
Kherson Oblast,KHERS,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION,False
Foggia,ITF46,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Foggia,FOGGI,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,ITA,3,MUNICIPALITY,False
Bari,ITF47,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Bari,BARII,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,ITA,3,MUNICIPALITY,False
