NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
 Brookings 2 Ne SD,BROOKLISOUTHDA,ALL#WORLD#NOAME#USA#NOPLA#SODAK,False,,CITY,USA,3,CITY
Brookings 2 Ne SD,BROOKSOUTHDAK,ALL#WORLD#NOAME#USA#NOPLA#SODAK,False,,CITY,USA,3,CITY
Sao Miguel Do Oeste,SAO_MIGUEL_DO_OESTE,ALL#WORLD#SOAME#BRA#BRASO#SANTA,False,,CITY,BRA,3,CITY
São Miguel do Oeste,SAOMIGDOESTE,ALL#WORLD#SOAME#BRA#BRASO#SANTA,False,,CITY,BRA,3,CITY
Bom Jesus da Lapa,BOM_JESUS_LAP,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
Bom Jesus Da Lapa,BOM_JESUS_DA_LAPA,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
London Locks WV,LONDOWIS,ALL#WORLD#NOAME#USA#APPAL#WESTV,False,,CITY,USA,3,CITY
London Locks WV,LONDONWV,ALL#WORLD#NOAME#USA#EASCB#WISCO,False,,CITY,USA,3,CITY
Mateiros,MATEI,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Mateiros,MATEIROS,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Baixa Grande Do Ribeiro,BAIXA_GRANDE_DO_RIBEIRO,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,BRA,3,CITY
Baixa Grande do Ribeiro,BAIXA,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,BRA,3,CITY
Bình Phước,BINH_PHOC,ALL#WORLD#ASIA#VNM,False,,REGION,VNM,1,PROVINCE
Binh Phuoc,BIP,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,VNM,1,PROVINCE
KwaZulu-Natal,KZN,ALL#WORLD#AFR#ZAF,False,,REGION,ZAF,1,PROVINCE
KwaZulu-Natal,KWZN,ALL#WORLD#AFR#ZAF,False,,CITY,ZAF,1,PROVINCE
Ivaiporã,IAIP,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
Ivaipora,IVAPA,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
Itaporã,ITAPORA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Itaporã,IPRMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Davao Region,DAVAOREGION,ALL#WORLD#ASIA#PHL,False,,NATIONAL_REGION,PHL,1,REGION
Davao,DAVAO,ALL#WORLD#ASIA#PHL,False,,CITY,PHL,1,REGION
baja california,B-CA,ALL#WORLD#NOAME#MEX,False,,STATE,MEX,1,STATE
Baja California Sur,BCS,ALL#WORLD#NOAME#MEX,False,,STATE,MEX,1,STATE
Tien Giang province,TIENGIANG,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,VNM,1,PROVINCE
Tien Giang,TIENG,ALL#WORLD#ASIA#VNM,False,,DEPARTMENT,VNM,1,PROVINCE
Juiz de Fora,JUIZFORA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Juiz De Fora,JUIZ_DE_FORA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Oslo,NOR_OSL,ALL#WORLD#EUR#NOR,False,,CITY,NOR,1,COUNTY
