NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
East Coast India,AREA_ECI,ALL#WORLD#AREA_ECI,False,,REGION
US/SAM/SAF,US_SAM_SAF,US_SAM_SAF,True,[],
SAM/EU,SAM_EU,SAM_EU,True,[],
Indian Ocean,IND_OCE,IND_OCE,False,,REGION
Vĩnh Phúc,VINH,VINH,False,,REGION
Alexandria & Dekheila Port,ADP,ADP,False,,PORT_TERMINAL
"Nigeria, Ghana and Cameroon",NGAGHACMR,ALL#WORLD#AFR#NGAGHACMR,True,[],
PADD 6,PADD6,PADD6,True,"[
  ""PRI"",
  ""VIR""
]",
Mexico and Chile,MEX_CHL,ALL#WORLD#Americas#LATIN#MEX_CHL,True,[],
Santos and Tubarao,STS_TUBA,STS_TUBA,True,"[
  ""TUBA"",
  ""SANTO""
]",
France and United Kingdom,FRAGBR,FRAGBR,True,"[
  ""FRA"",
  ""GBR""
]",
Highland Papua,HGHPAPUA,HGHPAPUA,False,,CITY
CENTRAL BUENOS AIRES,C_BUENOSAIRES,C_BUENOSAIRES,False,,REGION
Schleswig-Holstein / Hamburg,SCHLESWIG-HOLSTEIN-HAMBURG,ALL#WORLD#EUR#DEU#SCHLESWIG-HOLSTEIN-HAMBURG,True,[],
WASDE_Former_Soviet_Union,FSU,ALL#WORLD#FSU,False,,COUNTRY_GROUP
WASDE Major Importers,MAJIMP,MAJIMP,False,,COUNTRY_GROUP
O Hare,O_HARE,ALL#WORLD#NOAME#USA#O_HARE,True,[],
Cameroon and Senegal,CMRSEN,ALL#WORLD#WESTA#CMRSEN,True,[],
East Mediterranea,E_MEDIS,ALL#WORLD#MEDIS#E_MEDIS,False,,REGION
Alexanderbay,ALEXBAY,ALEXBAY,False,,CITY
GRANIT PORT,GRANIT_PORT,GRANIT_PORT,False,,PORT_TERMINAL
Jalalabad,JALALABD,ALL#WORLD#ASIA#PAK#JALALABD,True,[],
England South West,EN-SW,EN-SW,False,,REGION
Kabul,KABUL,ALL#WORLD#ASIA#PAK#KABUL,True,[],
Gran Canaria,GRAN_CANARIA,GRAN_CANARIA,False,,PORT_TERMINAL
US Gulf and Europe,USG_EU,USG_EU,True,[],
Turkey and Libya,TURLBY,ALL#WORLD#AFRMI#TURLBY,True,[],
South Atlantic,S_ATL,S_ATL,False,,REGION
Tradeflow USA HRW,USAHRW,USAHRW,True,"[
  ""USA""
]",
Ibeju Lekki,IBJ_LEK,ALL#WORLD#WESTA#NGA#IBJ_LEK,True,[],
EU27,EU27,ALL#WORLD#EU27,False,,COUNTRY_GROUP
Gangavaram Port,GANGAVARAM,GANGAVARAM,False,,PORT_TERMINAL
Vĩnh Long,VINH_LONG,VINH_LONG,False,,REGION
 HAMBURGMITTE ,DEHTJ,HAMB#DEHTJ,False,,ALL
Europe Middle East and Africa,EMEA,ALL#WORLD#EMEA,False,,REGION
Latin America,LATIN,ALL#WORLD#Americas#LATIN,False,,COUNTRY_GROUP
Segamat District,SEGAMAT,SEGAMAT,False,,FEDERAL_DISTRICT
Luanda and Lomé,LUAN_LOME,LUAN_LOME,True,"[
  ""LUAN"",
  ""LOME""
]",
Black Sea and South America,BSEA_SOAME,BSEA_SOAME,True,[],
West Cast South America,AREA_WCSA,ALL#WORLD#AREA_WCSA,False,,REGION
Vietnam and Indonesia,VNMIDN,VNMIDN,True,"[
  ""IDN"",
  ""VNM""
]",
"Argentina, Brazil and South Africa",ARG_BRA_SAF,ARG_BRA_SAF,False,,COUNTRY_GROUP
Argentina and Brazil,ARNBR,ARNBR,True,"[
  ""BRA"",
  ""ARG""
]",
Red Sea,REDSEA,ALL#WORLD#AFRMI#REDSEA,False,,REGION
North Coast South America,AREA_NCSA,ALL#WORLD#AREA_NCSA,False,,REGION
PADD 5 (West Coast),PADD5,PADD5,True,"[
  ""ALASK"",
  ""HAWAI"",
  ""ARIZO"",
  ""NEVAD"",
  ""CALIF"",
  ""OREGO"",
  ""WASHI""
]",
Karaikal,KARAIKAL,KARAIKAL,False,,CITY
Aps,PORT_APS,PORT_APS,False,,PORT_TERMINAL
Turkey and Egypt,TUR_EGY,TUR_EGY,True,"[
  ""EGY"",
  ""TUR""
]",
PARAGUAI,PRG,CENTRAL_SOUTH_AMERICA#PRG,False,,REGION
North Europe,N_EU,ALL#WORLD#EUR#N_EU,False,,REGION
AUSTRALASIA & OCEANIA,AUSTRALASIA_OCEANIA,AUSTRALASIA_OCEANIA,False,,REGION
Ras Al Khaimah,RAS_AL_KHAIMAH,ALL#WORLD#UAE#RAS_AL_KHAIMAH,True,[],
Kenya / Mozambique,KEN_MOZ,KEN_MOZ,True,"[
  ""KEN"",
  ""MOZ""
]",
Bentong,BENTONG,BENTONG,False,,CITY
PT/KU/UL,PT_KU_UL,ALL#WORLD#ASIA#KOR#PT_KU_UL,True,"[
  ""PYEON"",
  ""KUN"",
  ""ULSAN""
]",
"Russia, Ukraine",RUS_UKR,RUS_UKR,False,,REGION
Santos Tubarao Itacoatiara Barcarena,STS_TUB_ITA_BARCA,STS_TUB_ITA_BARCA,True,"[
  ""TUBA"",
  ""ITAAM"",
  ""SANTO"",
  ""BARCA""
]",
England Eastern,EN-EA,EN-EA,False,,REGION
EU28,EU28,ALL#WORLD#EUR#EU28,False,,COUNTRY_GROUP
Indonesia and Myanmar,INDMYAN,INDMYAN,True,"[
  ""IDN"",
  ""MMR""
]",
Kuwait and Oman,KWTOMN,ALL#WORLD#MIDDL#KWTOMN,True,[],
Hamad,HAMAD,ALL#WORLD#ASIA#IND#HAMAD,False,,COUNTRY
Hargshamn,HARSSHAMN,HARSSHAMN,False,,PORT_TERMINAL
ESKIHOLDEN,ESKIHOL,ESKIHOL,False,,PORT_TERMINAL
NASS USA Others,NASS_USAOTHERS,ALL#WORLD#NOAME#USA#NASS_USAOTHERS,True,[],
West Pacific,W_PAC,W_PAC,False,,REGION
Ciskei,CISKEI,ALL#WORLD#AFR#CISKEI,False,,COUNTRY
PADD 2 (Midwest),PADD2,PADD2,True,"[
  ""KENTU"",
  ""TENNE"",
  ""ILLIN"",
  ""INDIA"",
  ""MICHI"",
  ""OHIO"",
  ""WISCO"",
  ""NEBRA"",
  ""NODAK"",
  ""SODAK"",
  ""KANSA"",
  ""OKLAH"",
  ""IOWA"",
  ""MINNE"",
  ""MISSO""
]",
PADD 4 (Rocky Mountain),PADD4,PADD4,True,"[
  ""IDAHO"",
  ""UTAH"",
  ""WYOMI"",
  ""MONTA"",
  ""COLOR""
]",
US Gulf and South America,USG_SOAME,USG_SOAME,True,[],
Constanta Varna Burgas,CVB,CVB,True,"[
  ""CONST"",
  ""VARNC"",
  ""BURGB""
]",
West Coast Central America,AREA_WCCA,ALL#WORLD#AREA_WCCA,False,,REGION
Shandong and Henan,Shandong_Henan,ALL#WORLD#ASIA#CHN#Shandong_Henan,True,"[
  ""SHAND"",
  ""HENAN""
]",
Australia and New Zealand,AUSNZL,AUSNZL,True,"[
  ""NZL"",
  ""AUS""
]",
Kenya/Uganda,KEN_UGA,KEN_UGA,True,"[
  ""KEN"",
  ""UGA""
]",
Tradeflow USA SRW,USASRW,USASRW,True,"[
  ""USA""
]",
Gorj,GORJ,ALL#WORLD#EUR#ROU#GORJ,False,,COUNTRY
Mid-Mississippi,MIDMISS,ALL#WORLD#NOAME#USA#DELTA#MISSI#MIDMISS,True,[],
"Russia, USA",RUS_USA,ALL#WORLD#RUS_USA,False,,ALL
Vietnam and Malaysia,VNM_MYS,VNM_MYS,True,"[
  ""MYS"",
  ""VNM""
]",
North Scotland,NSCOT,NSCOT,False,,REGION
parcel Port,PARCEL_PORT,PARCEL_PORT,False,,PORT_TERMINAL
CENTRAL & SOUTH AMERICA,CENTRAL_SOUTH_AMERICA,CENTRAL_SOUTH_AMERICA,False,,REGION
South Lanao,SOUTHLANAO,SOUTHLANAO,False,,NATIONAL_REGION
Russia and Finland,RUSFIN,RUSFIN,True,"[
  ""FIN"",
  ""RUS""
]",
Hungary and Sweden,HUNSWE,ALL#WORLD#EUR#HUNSWE,True,[],
Kenya and Uganda,KENUGA,ALL#WORLD#AFR#KENUGA,True,[],
American Ports,AMERICANPORTS,ALL#WORLD#Americas#AMERICANPORTS,True,[],
Europe (including UK),EUR_UK,ALL#WORLD#EUR#EUR_UK,False,,COUNTRY_GROUP
Egypt and Libya,EGYLBY,ALL#WORLD#NOAFR#EGYLBY,True,[],
US/AUS,US_AUS,US_AUS,True,[],
Europe Region 3,EUR3,EUR3,True,"[
  ""ESP"",
  ""GRC"",
  ""HRV"",
  ""ITA"",
  ""PRT"",
  ""ROU""
]",
Other Asia,OTHER_ASIA,ALL#WORLD#ASIA#OTHER_ASIA,False,,COUNTRY_GROUP
Europe Region 1,EUR1,EUR1,True,"[
  ""CZE"",
  ""DNK"",
  ""FIN"",
  ""HUN"",
  ""LTU"",
  ""POL"",
  ""SVK"",
  ""SWE"",
  ""AUT""
]",
 Extra-Regio NUTS 1,EUR_EX_REG_NUT1,ALL#WORLD#EUR#EUR_EX_REG_NUT1,False,,REGION
Central Papua,CNTPAPUA,CNTPAPUA,False,,CITY
Jebel Ali,PORT_AEJEA,PORT_AEJEA,False,,PORT_TERMINAL
NOIRMOUTIERENL'ILE,FRNOI,FRNOI,False,,CITY
hola,AMIGOS,ALL#WORLD#AMIGOS,True,[],
Brazil North-Northeast (NNE),BRA_NNE,ALL#WORLD#Americas#SOAME#BRA#BRA_NNE,True,"[
  ""BRANO"",
  ""BRANE""
]",
Central Atlantic,PADD1B,PADD1#PADD1B,True,"[
  ""DCOLU"",
  ""DELAW"",
  ""MARYL"",
  ""NEWJE"",
  ""NEWYO"",
  ""PENNS""
]",
Yorkshire and Humber,YRK-HUM,ALL#WORLD#EUR#GBR#YRK-HUM,True,[],
RDM_AMS_ZONE,RDM_AMS,RDM_AMS,True,"[
  ""AMS"",
  ""ROTTE""
]",
Berlin / Brandenburg,BERLIN-BRANDENBURG,ALL#WORLD#EUR#DEU#BERLIN-BRANDENBURG,True,[],
Malindo,MALINDO,MALINDO,True,"[
  ""IDN"",
  ""MYS""
]",
Americas,Americas,ALL#WORLD#Americas,False,,COUNTRY_GROUP
Tibet,TIBET,ALL#WORLD#ASIA#TIBET,False,,REGION
World except Russia and Ukraine,WW_X_RUS_UKR,ALL#WORLD#WW_X_RUS_UKR,True,[],
Oman and United Arab Emirates,OMNUAE,OMNUAE,True,"[
  ""OMN"",
  ""UAE""
]",
Upriver and Bahia Blanca,UPBB,UPBB,True,"[
  ""UPRIVER"",
  ""BABBU""
]",
Mozambique and Tanzania,MOZTZA,ALL#WORLD#AFR#MOZTZA,True,[],
North Atlantic	,NO_ATLANT,NO_ATLANT,False,,REGION
Ghana and Cameroon,GHACMR,ALL#WORLD#AFR#GHACMR,True,[],
TURABAU,TURABAU,TURABAU,False,,PORT_TERMINAL
Egypt and Trukey,EGYTUR,ALL#WORLD#AFRMI#EGYTUR,True,[],
West Coast India,AREA_WCI,ALL#WORLD#AREA_WCI,False,,REGION
Santos Tubarao Paranagua,STS_TUB_PRNG,STS_TUB_PRNG,True,"[
  ""TUBA"",
  ""SANTO"",
  ""PARPA""
]",
NASS USA North & East,NASS_USANE,NASS_USANE,True,"[
  ""KENTU"",
  ""VIRGI"",
  ""INDIA"",
  ""OHIO"",
  ""MARYL"",
  ""PENNS""
]",
Twin Cities,TWINCITY,ALL#WORLD#NOAME#USA#DELTA#MISSI#TWINCITY,True,[],
Congo and Cameroon,COG_CMR,COG_CMR,True,"[
  ""CMR"",
  ""COG""
]",
Indonesia and Malaysia,IDN_MYS,IDN_MYS,True,"[
  ""IDN"",
  ""MYS""
]",
Union of Soviet Socialist Republics,USSR,USSR,False,,COUNTRY_GROUP
Midlands UK,MID-UK,MID-UK,False,,REGION
Hamburg,HAMB,HAMB,False,,CITY
Gola Pristan,GOLA,GOLA,False,,CITY
Tradeflow USA SWW,USASWW,USASWW,True,"[
  ""USA""
]",
Russia and Lithuania,RUSLITH,RUSLITH,True,"[
  ""LTU"",
  ""RUS""
]",
Icsaccea,ICSACCEA,ICSACCEA,False,,PORT_TERMINAL
Balkan Wheat Producer,BALKANWHT,BALKANWHT,True,"[
  ""BGR"",
  ""HRV""
]",
