NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Bahia Blanca,PORT_ARBHI,ALL#WORLD#Americas#SOAME#ARG,False,,PORT_TERMINAL
Terminal Bahia Blanca,BB_TERM,ALL#WORLD#Americas#SOAME#ARG#PAMAR#BUAPA#BABBU,False,,PORT_TERMINAL
Karatsu,PORT_JPKAR,ALL#WORLD#ASIA#JPN,False,,PORT_TERMINAL
KARASU,PORT_TRKRS,ALL#WORLD#WESTE#TUR,False,,PORT_TERMINAL
Port of LA LIBERTAD,PORT_LALIB,ALL#WORLD#OSAM#ECU,False,,PORT_TERMINAL
Port of La Libertad,PORT_LLI,ALL#WORLD#CTLAM#SLV,False,,PORT_TERMINAL
Port of Cartagena,CARTAGENE,ALL#WORLD#EUR#ESP,False,,PORT_TERMINAL
Cartagena,PORT_ESCAR,ALL#WORLD#EUR#ESP,False,,PORT_TERMINAL
Vancouver,PORT_CAVAN,ALL#WORLD#NOAME#CAN,False,,PORT_TERMINAL
Vancouver WA,PORT_USVAN,ALL#WORLD#NOAME#USA,False,,PORT_TERMINAL
Hakata,HAKATA,ALL#WORLD#ASIA#JPN,False,,PORT_TERMINAL
Sakata,PORT_JPSKT,ALL#WORLD#ASIA#JPN,False,,PORT_TERMINAL
Rio Grande,PORT_BRRIG,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Rio de Janeiro,PORT_BRRIO,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Port San Antonio,P_SAN,ALL#WORLD#NOAME#USA#SOPLA#TEXAS,False,,PORT_TERMINAL
Port Antonio,PORT_ANT,ALL#WORLD#CTLAM#JAM,False,,PORT_TERMINAL
Brasília,PORT_BRBSB,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Brasiléia,PORT_BRBRL,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Port Klang,PORT_MYPKG,ALL#WORLD#ASIA#MYS,False,,PORT_TERMINAL
Klang Port,PORT_KLANG_PORT,ALL#WORLD#ASIA#MYS#PENINSULAR_MALAYSIA,False,,PORT_TERMINAL
Vysotsk,VYSOTSK,ALL#WORLD#CIS#RUS,False,,PORT_TERMINAL
Vysotsk,VYSTSK,ALL#WORLD#CIS#RUS#NORFD#LENFS,False,,PORT_TERMINAL
Vila do conde,PORT_PTVIC,ALL#WORLD#EUR#PRT,False,,PORT_TERMINAL
Vila de Conde,PORT_VDCO,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Vila do Conde,PORT_BRVLC,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Osaka Sakai,PORT_JPOSA,ALL#WORLD#ASIA#JPN,False,,PORT_TERMINAL
Osaka,PORT_OSAKA,ALL#WORLD#ASIA#JPN,False,,PORT_TERMINAL
Yangzijiang,PORT_YANGZG,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL
Yangjiang,PORT_CNYJI,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL
Porto Velho,PORT_BRPVH,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Porto Alegre,PORT_BRPOA,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Gdansk,PORT_PLGDN,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL
Gdańsk,PORT_GDA,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL
El jadida,PORT_DZELJAD,ALL#WORLD#AFRMI#MAR,False,,PORT_TERMINAL
El Jadida,PORT_MAEJD,ALL#WORLD#AFRMI#MAR,False,,PORT_TERMINAL
Belém,PORT_BRNBM,ALL#WORLD#Americas#SOAME#BRA,False,,PORT_TERMINAL
Belém,PORT_BELEM,ALL#WORLD#Americas#SOAME#BRA#BRANO#PARA#BELPA,False,,PORT_TERMINAL
General Lagos,GRAL_LAGOS,ALL#WORLD#Americas#SOAME#ARG#UPRIVER,False,,PORT_TERMINAL
Lagos,PORT_NGLOS,ALL#WORLD#WESTA#NGA,False,,PORT_TERMINAL
