NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Port Klang,PORT_MYPKG,ALL#WORLD#ASIA#MYS,False,,PORT_TERMINAL,MYS,1,PORT_TERMINAL
Klang Port,PORT_KLANG_PORT,ALL#WORLD#ASIA#MYS,False,,PORT_TERMINAL,MYS,1,PORT_TERMINAL
Vysotsk,VYSOTSK,ALL#WORLD#EUR#RUS,False,,PORT_TERMINAL,RUS,1,PORT_TERMINAL
Vysotsk,VYSTSK,ALL#WORLD#EUR#RUS,False,,PORT_TERMINAL,RUS,1,PORT_TERMINAL
Yangzijiang,PORT_YANGZG,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,CHN,1,PORT_TERMINAL
Yangjiang,PORT_CNYJI,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,CHN,1,PORT_TERMINAL
Gdansk,PORT_PLGDN,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL,POL,1,PORT_TERMINAL
Gdańsk,PORT_GDA,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL,POL,1,PORT_TERMINAL
Belém,PORT_BRNBM,ALL#WORLD#SOAME#BRA,False,,PORT_TERMINAL,BRA,1,PORT_TERMINAL
Belém,PORT_BELEM,ALL#WORLD#SOAME#BRA,False,,PORT_TERMINAL,BRA,1,PORT_TERMINAL
