NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Alexandria & Dekheila Port,ADP,ADP,False,,PORT_TERMINAL
GRANIT PORT,GRANIT_PORT,GRANIT_PORT,False,,PORT_TERMINAL
Gran Canaria,GRAN_CANARIA,GRAN_CANARIA,False,,PORT_TERMINAL
Gangavaram Port,GANGAVARAM,GANGAVARAM,False,,PORT_TERMINAL
Aps,PORT_APS,PORT_APS,False,,PORT_TERMINAL
Hargshamn,HARSSHAMN,HARSSHAMN,False,,PORT_TERMINAL
ESKIHOLDEN,ESKIHOL,ESKIHOL,False,,PORT_TERMINAL
parcel Port,PARCEL_PORT,PARCEL_PORT,False,,PORT_TERMINAL
Jebel Ali,PORT_AEJEA,PORT_AEJEA,False,,PORT_TERMINAL
TURABAU,TURABAU,TURABAU,False,,PORT_TERMINAL
Icsaccea,ICSACCEA,ICSACCEA,False,,PORT_TERMINAL
Fujairah,PORT_AEFJR,PORT_AEFJR,False,,PORT_TERMINAL
VOLGOGRAD SILO,VOLGO_PORT,VOLGO_PORT,False,,PORT_TERMINAL
Kralendijk port,KRALENDIJK,ALL#WORLD#CARIB#KRALENDIJK,False,,PORT_TERMINAL
Valli port,VALLI_PORT,VALLI_PORT,False,,PORT_TERMINAL
AABENRAA,AABENRAA,AABENRAA,False,,PORT_TERMINAL
OPL West Africa,PORT_OWA,ALL#WORLD#WESTA#PORT_OWA,False,,PORT_TERMINAL
